Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
-> Sub-task,WS-403,Done,Major,-> add an event handler that would fetch all the users from the DB and create the shared assistant under their account,-,,0m,,6h 5m,,,,,
-> Sub-task,WS-404,Done,Major,-> Add an event handler that would add the demo assistant to all new users,-,,0m,,2h,,,,,
-> Sub-task,WS-411,Done,Major,-> create an event handler that would add all the demo assistants to a collection,-,,0m,,1h 5m,,,,,
-> Sub-task,WS-418,Done,Major,-> create and publish the demo assistant manifest,-,,0m,,35m,,,,,
-> Sub-task,WS-502,Done,Major,-> make it so that only admins can view and install a demo assistant,-,,0m,,30m,,,,,
-> Sub-task,WS-536,Done,Major,-> create an event handler that would remove the demo assistant from the collection when an admin deletes a demo assistant,-,,0m,,1h 20m,,,,,
-> Sub-task,WS-554,Done,Major,-> Deploy,-,,0m,,15m,,,,,
Improvement,WS-381,In Progress,Major,Confirm delta reports can be used to make Smart Brevity summaries,-,-,0m,0m,57m,57m,,,,
Sub-task,WS-397,Done,Major,WS-379 -> Setup go service that runs as a cron job,-,-,0m,0m,2h,2h,,,,
Sub-task,WS-398,Done,Major,"WS-379 -> Create structs for Invoice, Customer, Bills, Account",-,-,0m,0m,2h 40m,2h 40m,,,,
Sub-task,WS-399,Done,Major,WS-379 -> Create function to generate a Bill using gofakeit,-,-,0m,0m,20m,20m,,,,
Sub-task,WS-400,Done,Major,WS-379 -> Create function to generate an Invoice using gofakeit,-,-,0m,0m,1h,1h,,,,
Task,WS-402,Done,Major,Will the LLM respond to budget questions well if given a budget detail,-,-,0m,0m,4h,4h,,,,
Sub-task,WS-405,Done,Major,WS-379 -> Create function to generate a Customer using gofakeit,-,-,0m,0m,30m,30m,,,,
Sub-task,WS-406,Done,Major,WS-379 -> Copy over function that gets the machine to machine token,-,-,0m,0m,2m,2m,,,,
Sub-task,WS-407,Done,Major,WS-379 -> Create function to hit IAM to get QuickBooks token,-,-,0m,0m,10m,10m,,,,
Sub-task,WS-408,Done,Major,WS-379 -> Update security on the tokens route in IAM to allow this service,-,-,0m,0m,10m,10m,,,,
Sub-task,WS-409,Done,Major,"WS-379 -> Create workflow that creates new customers, makes bills for those customer and generates invoices",-,-,0m,0m,2h,2h,,,,
Sub-task,WS-410,Done,Major,WS-379 -> Create workflow that pulls existing customers and pays bills,-,-,0m,0m,1h,1h,,,,
Improvement,WS-421,Done,Critical,Can we get the LLM to identify key financial changes to alert on,-,-,0m,0m,4h 12m,4h 12m,,,,
Improvement,WS-423,In Progress,Critical,"Can we get alerts to take into account a user's ""focus"" or comments",-,-,0m,0m,2h 46m,2h 46m,,,,
Sub-task,WS-430,Done,Major,WS-426 -> Add receiver for creating alert,2h,2h,0m,0m,2h 30m,2h 30m,30 minutes,30 minutes,-25,-25
Sub-task,WS-432,Done,Major,WS-431 -> Create event handler that creates a job in the cron scheduler to run the user query returned,2h,2h,0m,0m,2h 27m,2h 27m,27 minutes,27 minutes,-22,-22
Sub-task,WS-434,Done,Major,WS-426 -> Add option to create a new alert to the menu,30m,30m,0m,0m,30m,30m,0 minutes,0 minutes,0,0
Sub-task,WS-438,Done,Major,WS-426 -> Add collection for alerts,-,-,0m,0m,2h 18m,2h 18m,,,,
Sub-task,WS-439,Done,Major,"WS-426 -> Create a ""conversation"" for the alert when it's created",-,-,0m,0m,27m,27m,,,,
Sub-task,WS-443,Done,Major,WS-426 -> Deploy,30m,30m,0m,0m,30m,30m,0 minutes,0 minutes,0,0
Sub-task,WS-445,Done,Major,WS-431 -> Add initializer that starts the alerts when the service starts,-,-,0m,0m,20m,20m,,,,
Sub-task,WS-447,Done,Major,WS-426 -> Add check if query returned is working,-,-,0m,0m,4h 34m,4h 34m,,,,
Sub-task,WS-449,Done,Major,WS-426 -> Update prompt so that the user can set the cadence and it would be extracted (similar to how the query is extracted),-,-,0m,0m,50m,50m,,,,
Sub-task,WS-450,Done,Major,WS-431 -> Make so that other apis could call the assistant service with a query,-,-,0m,0m,6h 46m,6h 46m,,,,
Sub-task,WS-451,Done,Major,WS-426 -> If the alert is successfully added return a user friendly confirmation,-,-,0m,0m,2h 57m,2h 57m,,,,
Sub-task,WS-452,Done,Major,WS-379 -> Create additional workflows,-,-,0m,0m,1h 45m,1h 45m,,,,
Task,WS-453,Done,Critical,Update the weos version on all the services,-,-,0m,0m,45m,45m,,,,
Sub-task,WS-454,Done,Major,WS-379 -> Make so that accounts can be added and removed,-,-,0m,0m,30m,30m,,,,
Sub-task,WS-462,Done,Major,WS-379 -> Deploys,-,-,0m,0m,1h 16m,1h 16m,,,,
Story,WS-465,Done,Major,As a user I should be able to de-activate an alert,-,1h 10m,0m,0m,1h,3h 10m,,2 hours,,-171
-> Sub-task,WS-556,Done,Major,"-> Add a ""active"" property to the alert",10m,,0m,,10m,,0 minutes,,0,0
-> Sub-task,WS-557,Done,Major,-> Update the send query function to check if the alert is active before running the query,20m,,0m,,20m,,0 minutes,,0,0
-> Sub-task,WS-558,Done,Major,"-> Add a de-activate button to the alerts on the front end and make a request to update the ""active"" property on the alert when it is clicked",40m,,0m,,1h 40m,,1 hour,,-150,-150
Sub-task,WS-468,Done,Major,WS-426 -> Make it so that when you delete an assistant it would delete the alerts on the alert service and run the initializer again,-,-,0m,0m,2h 17m,2h 17m,,,,
Sub-task,WS-471,Done,Major,WS-431 -> Deploy,-,-,0m,0m,2h 27m,2h 27m,,,,
Sub-task,WS-472,Done,Major,WS-426 -> Make it so that a cadence lower than a day can't be set,-,-,0m,0m,25m,25m,,,,
Sub-task,WS-473,Done,Major,WS-379 -> Make workflow to pay invoices,-,-,0m,0m,2h,2h,,,,
Sub-task,WS-474,Done,Major,WS-379 -> Make it so that undeposited funds are transferred to checking account,-,-,0m,0m,1h,1h,,,,
Sub-task,WS-475,Done,Major,WS-379 -> Add an endpoint to that runs the demo manually,-,-,0m,0m,45m,45m,,,,
Sub-task,WS-476,Done,Major,WS-431 -> Create alert card,-,-,0m,0m,25m,25m,,,,
Sub-task,WS-477,Done,Major,WS-431 -> Create chat card,-,-,0m,0m,1h,1h,,,,
Sub-task,WS-478,Done,Major,WS-431 -> Create home screen,-,-,0m,0m,3h 30m,3h 30m,,,,
Sub-task,WS-480,Done,Major,WS-431 -> Create notification if the alert should be triggered,3h,3h,0m,0m,5h 35m,5h 35m,"2 hours, 35 minutes","2 hours, 35 minutes",-86,-86
Sub-task,WS-481,Done,Major,WS-431 -> Create modal that creates the alerts,-,-,0m,0m,2h 17m,2h 17m,,,,
Sub-task,WS-482,Done,Major,WS-431 -> Hook ups,-,-,0m,0m,2h 30m,2h 30m,,,,
Task,WS-483,To Do,Minor,Make it so that alerts take into account the user's timezone,-,-,0m,0m,20m,20m,,,,
Task,WS-484,In Progress,Major,Refactor Weos app,-,-,0m,0m,1h,7h 30m,,,,
-> Sub-task,WS-496,In Progress,Major,-> setup mobile builds,-,,0m,,6h 30m,,,,,
Sub-task,WS-498,Done,Major,WS-459 -> Create reusable chat container component,-,-,0m,0m,3h 15m,3h 15m,,,,
