Issue Type,Status,Priority,Summary,Original Time Estimated,Total Time Spent
Story,Done,Major,I should be able to login with my Quickbooks account,-,-
Task,Done,Critical,Add alert creation endpoint to the alert service,-,-
Improvement,Done,Critical,Revert IAM Authentication on RDS,-,-
Story,Done,Minor,Add source info to card,-,-
Task,Done,Major,Setup Prod environment,4h,1d 18m
Subtask,Done,Major,  Setup environment for apple id,2h,2h 30m
Subtask,Done,Major,  Setup OAuth Config for Apple Service,1h,1h
Subtask,Done,Major,  Feedback,-,1d 1h
Subtask,Done,Major,  Implement GetInfo,30m,40m
Subtask,Done,Major,  Implement GetInfo,1h,1h
Subtask,Done,Major,  Setup login endpoint,1h,1h
Subtask,Done,Major,  Implement Cache service interface on Azure Service,1h,1h 6m
Subtask,Done,Major,  Setup system for initiating a password reset,1h,1h 50m
Subtask,Done,Major,  Setup endpoint for updating the password after reset,-,1h 30m
Subtask,To Do,Major,  Update github actions to push to azure,4h,5h 30m
Subtask,Done,Major,  Setup authentication and login,4h,4h 30m
Subtask,Done,Major,  Setup container,2h,3h 10m
Subtask,To Do,Major,  Setup api gateway,30m,2h
Subtask,Done,Major,  setup onboarding screens,-,3h
Subtask,In Progress,Major,  fix failing tests,-,1h
Subtask,Done,Major,  setup email service,-,1h 10m
Subtask,Done,Major,  model the tutor service,1h,1h
Subtask,Done,Major,  create entities receivers etc,1h,1h
Subtask,Done,Major,  add screens to admin for managing prompt,1h,1h
Subtask,Done,Major,  Add concept of tags,1h,1h
Subtask,Done,Major,  Update question form to allow user to specify identifier,1h,1h
Subtask,Done,Major,  Update question form so that multemdia could be uploaded or added as a link,1h,1h
Subtask,Done,Major,  Make it so that the id for the question is generated,30m,30m
Subtask,Done,Major,  Add multimedia concept to answers,1h,1h
Subtask,Done,Major,  Import learning objectives,3h,5h
Subtask,Done,Major,  Update UI to be auto complete,2h,3h
Subtask,Done,Major,  Setup build keys in app store,2h,2h
Subtask,Done,Major,  First deploy to test flight,1h,1h
Subtask,Done,Major,  Add endpoint for creating a question bank,2h,2h
Subtask,Done,Major,  Add endpoint for managing topics,1h,1h
Subtask,Done,Major,  Add screen for uploading CSV with objectives,1h,1h 15m
Subtask,Done,Major,  Feedback,-,1h 40m
Subtask,Done,Major,  Hook up creation screen to API,2h,2h
Subtask,Done,Major,  Update block domain entity with logic for generating a block,1h,1h
Subtask,Done,Major,  Setup question service for return a list of questions,2h,2h
Subtask,Done,Major,  Add entity for a submission to the block,2h,2h
Subtask,Done,Major,  Add pinia store for tracking progress in the block and navigating the block,1h,3h
Subtask,Done,Major,  update block to track time remaining,1h,4h
Subtask,Done,Major,  track end time,30m,30m
Subtask,Done,Major,  Add entity for recording the answer,1h,1h
Subtask,Done,Major,  Add a query tutor endpoint,15m,15m
Subtask,Done,Major,  instantiate LLM Service,15m,15m
Subtask,Done,Major,  Add controller to get a list of organ systems along with the user scores and percentiles,2h,2h
Subtask,Done,Major,  update chat receiver to filter by tutor,15m,30m
Subtask,Done,Major,  Add a review tutor receiver,2h,2h
Subtask,Done,Major,  create a tutor service on the app,1h,1h
Subtask,Done,Major,  update the app to send a request to the tutor endpoint on the tutor service,1h,2h 26m
Subtask,Done,Major,  update the app to send a request to the endpoint on the tutor service,1h,1h
Subtask,Done,Major,  Setup query service,1h,1h
Subtask,Done,Major,  set up review service,1h,-
Subtask,Done,Major,  create an event handler for creating a chat,1h,1h
Subtask,Done,Major,  create an event handler for creating a message,1h,1h 30m
Subtask,Done,Major,  Add a tutor property to the prompt,1h,20m
Subtask,Done,Major,  update the app to add a menu to select the tutor when creating the prompt,1h,15m
Subtask,Done,Major,  update the app to make the tutor available when reviewing a question,1h,1h
Subtask,Done,Major,  Add domain entity for user feedback,1h,1h
Subtask,Done,Major,  Update handler to send email to admins when user feedback is added,1h,1h 30m
Subtask,Done,Major,  Added receiver and endpoint for submitting feedback,1h,1h
Subtask,Done,Major,  Show list of feedback in question view in admin,1h,1h
Subtask,Done,Major,  Hook up feedback view to endpoint,1h,1h
Subtask,Done,Major,  Hook up the explanations for write and incorrect answers,1h,1h
Subtask,Done,Major,  Hook up block results,1h,2h
Subtask,Done,Major,  Setup product and entitlements in revenue cat,1h,1h
Subtask,Done,Major,  Setup revenue cat SDK on iOS,1h,6h
Subtask,Done,Major,  Link Stripe to Revenue Cat,30m,30m
Subtask,Done,Major,  Hook up subscription purchase in UI,0m,1h
Subtask,Done,Major,  Hook up link to manage subscription on stripe if web purchase,1h,1h
Subtask,Done,Major,  hook up updated list,1h,1h
Subtask,Done,Major,  Hook up pause functionality to update block on back end,1h,1h
Subtask,Done,Major,  Feedback,-,1h
Subtask,Done,Major,  Add logos for the app,20m,-
Subtask,Done,Major,  Feedback,-,3h
Subtask,Done,Major,  Feedback,-,2h
Subtask,Done,Major,  add endpoint to get user,-,30m
Subtask,In Progress,Major,  feedback,-,40m
Subtask,Done,Major,  update callback handler to handle the apple login,-,2h
Bug,To Do,Major,Subscription not working,-,1h 30m
Bug,Closed,Major,Topics Id default to learning objective id on import,-,45m
Subtask,Done,Major,  Implement AWS service,1h,50m
Subtask,Done,Major,  Add multimedia concept to answer form,1h,2h 30m
Subtask,Done,Major,  Setup Oauth config,1h,43m
Subtask,Done,Major,  Implement GetInfo,1h,30m
Subtask,Done,Major,  Setup base app,2h,1h 30m
Subtask,Done,Major,  Add the ability to do bulk actions on questions,1h,30m
Subtask,Done,Major,  Create endpoint for importing learning objectives,2h,1h 30m
Subtask,Done,Major,  Add a query receiver to the tutor service,2h,1h 30m
Subtask,Done,Major,  Hook up endpoint to UI,30m,-
Subtask,Done,Major,  Update block taking flow to show explanation after each question,1h,-
Subtask,Done,Major,  Setup Azure CLI and init terraform state,2h,1h 11m
Task,Done,Major,Create terraform module for Azure Container Instance,2h,1h 7m
Subtask,To Do,Major,  Setup client id and secret,1h,-
Subtask,To Do,Major,  Add event handler for sending emails,1h,-
Subtask,Done,Major,  Add learning objectives,1h,-
Subtask,Done,Major,  confirm prompt endpoint works,1h,-
Subtask,Done,Major,  Add concept of multimedia links to questions,2h,1h
Subtask,Done,Major,  Fix issue with notch,2h,1h
Subtask,Done,Major,  Add endpoint for managing sub topics,2h,1h
Subtask,Done,Major,  Hook up the front end to display question,1h,1h
Subtask,Done,Major,  Create entity for tracking user stats,1h,-
Subtask,Done,Major,  Update block handler to update average score on user stats,1h,-
Subtask,Done,Major,  Add controller for returning user stats,1h,-
Subtask,Done,Major,  Setup revenuecat SDK on android,1h,-
Subtask,Done,Major,  setup revenuecat SDK on web,1h,-
Subtask,Done,Major,  Upgrade IAM to support subscriptions,1h,-
Subtask,Done,Major,  Feedback,2h,1h
Subtask,Done,Major,  Add code to end the exam when time runs out,1h,-
Subtask,Done,Major,  update the open AI service to pass in an endpoint,1h,-
Subtask,Done,Major,  Setup container registry,2h,30m
Task,Closed,Major,Setup Dev environment,2h,-
Task,To Do,Major,Add concept of feedback and users,2h,-
Subtask,Done,Major,  Add more columns to the question list and the ability to filter on those column,2h,-
Subtask,To Do,Major,  get android build working,2h,-
Story,To Do,Major,I should be able to see my average overall score rank against all users in the system,-,-
 Subtask,To Do,Major, Create a gorm model for tracking all user scores,30m,-
 Subtask,To Do,Major, Update block handler to store score table,30m,-
 Subtask,To Do,Major, Hook up ranking performance widget,30m,-
 Subtask,To Do,Major, Update stats controller to return the users rank and percentile,1h,-
Subtask,Done,Major,  Setup client id and secret,-,-
Subtask,Done,Major,  Feedback,-,-
Subtask,Done,Major,  Add endpoint for saving answer to a question,-,-
Subtask,Done,Major,  Add endpoint for updating the state of the exam,-,-
Subtask,Done,Major,  Update the filter form so that the organ system filter shows topics,-,-
Subtask,Done,Major,  Make it so that select all on the filter selects ALL in the list,-,-
Subtask,Done,Major,  Update the list of paused questions across the top of the blocks landing screen,-,-
Subtask,Done,Major,  Update with full list of specialties,-,-
Subtask,Done,Major,  UI Updates,-,-
Subtask,Done,Major,  Hook up list to list block api,-,-
Subtask,Done,Major,  Add disciplines filter,-,-
Subtask,Done,Major,  Add review version of question detail,-,-
Subtask,Done,Major,  Add method for progressing timer,-,-
Subtask,Done,Major,  Clear timer set timeout the moment the explanation is shown in tutor mode,-,-
Subtask,Done,Major,  Update the question answers to have a version where the answer is wrong and another when its correct,-,-
Subtask,Done,Major,  Add screen for block results,-,-
Subtask,To Do,Major,  Setup fastlane for android,-,-
Bug,Closed,Major,AI tutor screen too large,-,-
Story,Done,Blocker,I should be able to cancel my subscription,-,3h
Story,Done,Blocker,I should be able to create a test in test mode,-,3h
Story,Done,Major,As an admin I should be able to manage the prompts for the Tutor AI,-,-
 Subtask,Done,Major, Deploy Tutor Service to Wepala,2h,2h 30m
Task,In Progress,Blocker,Create terraform module for Azure VPC,-,2h 10m
Bug,Done,Blocker,Cant Delete user from admin,-,2h 30m
Task,Done,Blocker,Switch to using custom scheme,-,20m
Task,Done,Critical,Make it so that questions are not repeated,-,1h 30m
Story,Done,Critical,I should go back to the question list page I was on when I edit a question,1h,55m
Task,Done,Critical,Setup encoding during learning objectives import,1h,30m
Story,To Do,Major,I should be able to install the app form the play store,-,-
 Subtask,To Do,Major, Setup development keys for android,1h,-
Story,Done,Major,I should be able to install the app from the app store,2h,-
Story,Done,Major,As an admin I should be able to to manage the question bank,-,-
 Subtask,Done,Major, Update entities,1h,7h
 Subtask,Done,Major, Add endpoint for upserting disciplines,1h,1h
 Subtask,Done,Major, Add endpoint for upserting compentency,1h,1h
 Subtask,Done,Major, Add question edit enpoint,-,1h
 Subtask,Done,Major, Add question create screen,1h,1h
 Subtask,Done,Major, Add organ system screens,1h,1h
 Subtask,Done,Critical, Wireframe Admin App,1h,-
 Subtask,Done,Major, Add endpoint for Upserting Organ System,1h,-
 Subtask,Done,Major, Add endpoint for upserting cognitive skills,1h,-
 Subtask,Done,Major, Add question list screen,1h,-
 Subtask,Done,Major, Hook up question create,2h,1h
 Subtask,Done,Major, Add competency screens,1h,-
 Subtask,Done,Major, Add question create endpoint,2h,-
 Subtask,Done,Major, Deploy MedAI App to Wepala,-,-
 Subtask,Done,Major, Add initializer for question types,-,-
Story,Done,Major,I should be able to setup an account using apple id,-,-
Story,Done,Major,I should be able to setup an account using google id,-,-
Story,Done,Major,I should be able to setup an account using microsoft,-,-
Story,QA,Major,I should be able to setup an account using username and password,-,-
Story,Done,Major,I should be able to reset my password if I use the password option,-,-
Story,To Do,Major,I should be receive an email when I setup a new account,-,-
Story,To Do,Major,I should be receive an email when I update an account,-,-
Story,Done,Major,I should be able to pay for a subscription,-,-
Story,Done,Major,I should be able to use the AI to ask general questions,-,-
Story,Done,Critical,I should be able to use the AI tutor when reviewing questions,-,-
Story,Done,Blocker,I should be able to take a test,-,-
Story,Done,Major,As an admin I should be able to see a list of users,-,-
Story,To Do,Major,I should not be able to sign up is Im not in an allowed region,-,-
Task,In Progress,Major,Deploy App,-,-
Story,Done,Critical,As and admin I should be able use autocomplete to select the learning objective on a question,-,-
Story,Done,Minor,As a user I should be able to pause a test,-,-
Story,Done,Major,As a user I should be able to see a list of all the paused blocks,-,-
Story,Done,Major,I should be able to see the results of a block when completed,-,-
Story,Done,Major,I should be able to review a question that I already answered in a block,-,-
Story,Done,Major,I should be able to end a block,-,-
Story,Done,Major,I should be able to select specialty when setting up an account,-,-
Story,Done,Major,I should be able to see my average score,-,-
Story,Done,Major,I should be able to see how I rank by organ system,-,-
Story,Done,Major,As a user I should be able to see a list of blocks that have been completed,-,-
Story,Done,Major,I should be able to take the test in tutor mode,-,-
Story,Done,Major,I should be able to take a timed test,-,-
Story,Done,Major,I should be able to leave feedback on a question,-,-
Story,Done,Major,I should be able to get lab view data,-,-
Task,Done,Blocker,Onboarding Updates,-,-
Story,To Do,Major,As an admin I should be able to add references for a question,-,-
Task,Done,Critical,Mobile Fixes,-,-
Task,Done,Major,Hook up use profile screen to show actual user info,-,-
Task,Done,Blocker,Copy Questions back from Production,-,-
Story,To Do,Major,As an admin I should be able to search for questions by id,-,-
Task,Done,Major,Move the settings menu item under my account,-,-
Task,Done,Critical,Make it so that in tutor mode when the user goes back it goes to the review version of the question,-,-
Task,To Do,Critical,Microsoft login not working at least on staging,-,-
Bug,Done,Major,Page header and title not changing after logging in,-,-
Bug,To Do,Major,When the user cancels login they are taken to a blank screen on mobile,-,-
Bug,Done,Blocker,Apple approval updates,-,-
Task,Done,Major,Create Pages and Navigation through the app,6h,6h 9m
Task,Done,Major,Create a Poll Functionality,2d,1d 2h 58m
Task,Done,Major,Build App loadfirst open flow according to design,-,2h 30m
Task,Done,Major,Build design for feedHome page And Create Poll Page,0m,1d 1h 50m
Task,Done,Blocker,create endpoint for sending poll vote,2h,4h 2m
Task,Done,Major,Image Service Restructure,2h 30m,2h 47m
Task,Done,Major,Misc Tweaks  Fixes,-,1d 2h 48m
Subtask,Done,Major,  Add endpoint to list test frameworks,1h,1h
Subtask,Done,Minor,  Setup Google App Microsoft App and Facebook app for Apollo,1h,1h
Subtask,Done,Major,  Add child dashboard,2h,2h
Subtask,Done,Major,  Add view child endpoint,1h,1h
Subtask,Done,Major,  Add endpoint for viewing list of exercises,1h,1h
Subtask,Done,Major,  Add endpoint for viewing exercise detail,2h,2h
Subtask,Done,Major,  Add endpoint for submitting an answer,2h,3h 6m
Subtask,Done,Major,  Add endpoint grading and getting the answers for an exercise,2h,1d 1h
Subtask,Done,Major,  Add screen for reviewing answers,2h,5h
Subtask,Done,Major,  Add endpoint for viewing test objectives under a strand,1h,1h
Subtask,Done,Major,  finalize endpoints,1h,1h 15m
Subtask,Done,Major,  Add create form,1h,1h
Subtask,Done,Major,  Create a generic prompt for generating questions,1h,1h 10m
Subtask,Done,Major,  Create a receiver for generating questions,1h,3h 30m
Subtask,Done,Major,  Add a screen for creatingupdatingtesting a prompt,1h,1h
Subtask,Done,Major,  Add endpoint for upserting a prompt,1h,1h
Subtask,Done,Major,  Feedback,-,2h 30m
Subtask,Done,Major,  Implement RevenueCat service in IAM,2h,2h
Subtask,Done,Major,  Add subscription screens,1h,2h 30m
Subtask,Done,Major,  Feedback,1h,5h 25m
Subtask,Done,Major,  Feedback,-,1h 30m
Subtask,Done,Major,  Update UI to allow for adding sub questions,1h,1h
Subtask,Done,Major,  Update the question upsert endpoint to allow for passing in sub parts,1h,1h
Subtask,Done,Major,  add screen for adding child,1h,1h 30m
Story,To Do,Major,As an admin I should be able to select multiple test objectives for a question,-,-
 Subtask,To Do,Major, Update question upsert endpoint to receive multiple test objectives,-,1h
Subtask,Done,Major,  Implement stripe service in IAM,0m,-
Subtask,Done,Major,  Get student creation working on the test service,1h,2h 30m
Subtask,Done,Major,  add endpoint for viewing answer,-,15m
Subtask,Done,Major,  Make it so that if an email is entered for student invite is sent,2h,2h
Subtask,Done,Major,  Feedback,-,1h
Subtask,Done,Major,  Feedback,-,6h 30m
Subtask,Done,Major,  Feedback,0m,3h 30m
Subtask,Done,Major,  Update exercise upsert receiver to return 402 if the user doesnt have a subscription,1h,1h 15m
Subtask,Done,Major,  Add an endpoint to IAM to get an updated JWT,-,3h 30m
Subtask,Done,Major,  Add endpoint for getting the stats of an exercise,2h,3h 24m
Subtask,Done,Major,  Hook up UI to backend,2h,4h 15m
Subtask,Done,Major,  Add subscription ID to the JWT,1h,3h
Subtask,Done,Major,  Add a list screen for all the exercises,1h,1h
Subtask,Done,Major,  Add form for creatingupdating an exercise,2h,6h 51m
Subtask,Done,Major,  add ela writing as a subject,2h,5h
Subtask,Done,Major,  setup the different types of essays as strands,-,2h
Subtask,Done,Major,  Add screens for selecting strand and questions,-,3h 30m
Task,Done,Major,Get up to speed with the Image Server,4h,3h 55m
Task,Done,Major,Create Apollo RN project and Repo,1h,45m
Subtask,Done,Major,  Add screen for viewing a question,3h,3h 54m
Subtask,Done,Major,  Record time spent on a question,1h,1h 40m
Subtask,Done,Major,  Update tally to only show questions as a whole and not each question part individually,1h,1h 40m
Subtask,Done,Major,  Setup revenue cat,1h,30m
Subtask,Done,Major,  Feedback,1h,30m
Subtask,Done,Major,  Update Question generation to accommodate multi part questions,1h,30m
Subtask,Done,Major,  Add method on Answer to mark answer correct,30m,-
Subtask,Done,Major,  Update question service to fix issue where repeats are in the sample,30m,-
Subtask,Done,Major,  Add total metrics at the top,1h,25m
Task,Done,Major,Import test objectives from CSV,1h,1h
 Subtask,Done,Major, Process subjectsstrands substrands,1h,1h
 Subtask,Done,Major, Process test objectives thinking process,1h,1h 20m
Subtask,Done,Major,  Import questions from CSV,1h,1h 16m
Story,Done,Major,I should be able to get the answer for a question,-,-
 Subtask,Done,Major, Update answer prompt to work without out the user submitting an answer,1h,-
 Subtask,Done,Major, Experiment with prompt that checks its own explanation,-,-
Subtask,Done,Major,  Setup dashboard for logged in Parent,2h,1h
Subtask,Done,Major,  Add endpoint for removing a child,1h,-
Subtask,Done,Major,  Add form for creating child,1h,-
Subtask,Done,Major,  Add screen for creating child,2h,1h
Subtask,Done,Major,  Add screen for listing and filtering exercises,3h,2h
Subtask,Done,Major,  Add endpoint for upserting exercise,2h,1d
Subtask,Done,Major,  add endpoint for viewing a strand,1h,-
Subtask,Done,Major,  Add screen for view list of test objectives,1h,-
Subtask,Done,Major,  Add a form for creatingupdating a prompt,1h,-
Subtask,Done,Major,  Setup stripe account,1h,-
Subtask,To Do,Major,  Small UI tweaks,1h,-
Subtask,Done,Major,  Add endpoint for creating a crafted exercise,2h,1h
Subtask,Done,Major,  Add endpoint for marking answer correct,1h,-
Subtask,Done,Major,  Update question service to re run query without restrictions if the no of questions returned is less than what was asked for,1h,-
Subtask,Done,Major,  Add coachmarks to the exercise review screen,1h,-
Subtask,Done,Major,  Add coachmarks to the question review,1h,-
Subtask,Done,Major,  Update front end to use revenue cat,2h,15m
Task,Done,Major,Build Design for Profile Page,3h,2h 45m
Subtask,Done,Major,  Add endpoint for upserting a child,2h,-
Subtask,Done,Major,  Add a profile screen where the account could be managed,2h,-
Subtask,Done,Major,  Add screen for viewing test objectives,2h,-
Subtask,Done,Major,  Add a button to an exercise that deletes the submission and starts the exercise,2h,-
Task,Done,Major,Poll Service Restructure,2h 30m,25m
Subtask,Done,Major,  Add screen that lists the SEA strands,3h,30m
Task,Done,,create endpoint for adding a poll,4h,1m
Story,To Do,Major,As a parent I should be able to upload an image of a question and get the answer,-,-
 Subtask,To Do,Major, Add screen for submitting question,1h,-
 Subtask,To Do,Major, Hookup UI to backend,1h,-
 Subtask,To Do,Major, Create a receiver that takes a question submission and uses the LLM to answer it,2h,-
Story,Done,Critical,I should be able to submit an answer and get it corrected,-,-
 Subtask,Done,Major, Add input to enter answer for question,30m,-
 Subtask,Done,Major, Add endpoint to submit response to,1h,-
 Subtask,Done,Major, Update UI to show AI response,1h,-
 Subtask,Done,Major, Create prompt for responding to question,2h,-
Task,Done,Major,Add langfuse so that you can get feedback on generated questions and answers,-,-
 Subtask,Done,Major, Update AI response to return trace id and observation id so that it can be passed back when the response is generated,30m,-
 Subtask,Done,Major, Deploy to staging,1h,-
 Subtask,Done,Major, Deploy to prod,1h,-
 Subtask,Done,Major, Add UI to rate generation,2h,-
Story,To Do,Major,I should be able to submit an image and get the math question behind,-,-
 Subtask,Done,Major, Add input to upload image,30m,30m
 Subtask,Done,Major, Get image upload working,1h,20m
 Subtask,To Do,Major, Get OCR working and returning message,1h,-
 Subtask,To Do,Major, Update so that the message returned is set as the question or answer depending on the input,1h,-
 Subtask,To Do,Major, Add input to take image with phone camera,2h,-
Story,To Do,Major,As a parent I should be able to get more questions like a specific type of question,-,-
 Subtask,To Do,Major, Create exercise factory that uses a question as a reference,1h,-
 Subtask,To Do,Major, Update ui to link to creating exercise by reference,1h,-
 Subtask,To Do,Major, Update question generation to create a vector for each question,2h,-
 Subtask,To Do,Major, Update the question service to have method for getting questions by vector similarity,2h,-
Story,To Do,Major,I should be able to install from the play store,-,-
 Subtask,To Do,Major, Setup project playstore,1h,-
 Subtask,To Do,Major, Setup firebase account,1h,-
 Subtask,To Do,Major, Setup capacitor,1h,-
 Subtask,To Do,Major, Add Facebook SDK,1h,-
 Subtask,To Do,Major, Setup fastlane,2h,-
 Subtask,To Do,Major, Do first build,2h,-
 Subtask,To Do,Major, Setup Google Tag Manager,2h,-
 Subtask,To Do,Major, Setup RevenueCat SDK,2h,-
 Subtask,To Do,Major, Feedback,2h,-
Task,Done,Major,Spec Little Apollo,-,-
Task,Done,Major,Create a list of tools that people use for those jobs pains and gains now,-,-
Bug,Done,Major,Questions are correct but the explaination for the solution is incorrect,-,-
 Subtask,Done,Major, Create experiment for having the LLM check its own answer,-,-
Bug,To Do,Major,Doesnt generate good questions for trig identities,-,-
Task,Done,Major,Make it so that the question is generated using a more accurate answer,-,-
Subtask,To Do,Major,  Update receivers to use OpenAI SDK Instead,-,-
Subtask,To Do,Major,  Add Apollo OpenAI key to build,-,-
Subtask,Done,Minor,  Setup apollo IAM,-,-
Subtask,Done,Major,  Add endpoint for deleting exercise,-,-
Story,To Do,Major,I should be able to install from the app store,-,-
Subtask,Done,Major,  Feedback,-,-
Task,To Do,Critical,Improve question generation to make it easier,-,-
Story,To Do,Minor,As a student I should be able to setup an account,-,-
Task,To Do,Minor,Make it so that user could select to add student via email or by username,-,-
Subtask,Done,Major,  Updated the app to use the student id associated with the exercise instead of pulling from the logged in user JWT,-,-
Subtask,Done,Major,  Remove view button for parent,-,-
Subtask,Done,Major,  Make it so that when the exam is finished grading it goes to the report,-,-
Subtask,Done,Major,  Update exercise entity to have a name for the exercise,-,-
Subtask,To Do,Major,  add schools to api,-,-
Epic,To Do,Major,Create a tool for creative writing,-,-
Task,To Do,Minor,Make it so that when you do more like this it gives questions worth the same no of marks,-,-
Task,To Do,Major,Turn on Std 5 Questions,-,-
Task,Done,Blocker,setup aws amplify,6h,1d 2h 9m
Task,Done,Blocker,create binary poll screen,6h,1d 4h 5m
Task,Done,Blocker,create image poll screen,1d,2d 7h 6m
Subtask,Done,,parentIssuegetKey  add method for getting poll by id,2h,4h 28m
Subtask,Done,,parentIssuegetKey  create component for sharing poll url,2h,3h 10m
Task,Done,Blocker,implement deeplink,4h,1d 6h 1m
Task,Done,Blocker,create poll results screen,4h,1d 2h 33m
Task,Done,,create screen for voting binary poll,6h,7h 26m
Task,Done,Blocker,add share button to poll results,2h,3h 42m
Task,Done,,create dynamodb adapter for accounts,3h,1d 15m
Task,Done,Major,Changes to UI for app header got header and navigation to play nicely,4h,4h
Task,Done,Major,Create a landing page,1d,1d 3h 29m
Task,Done,Major,Create a demographic break down sreen,4h,1d 7h 49m
Task,Done,Major,Finish my polls section,3h,4h 37m
Task,Done,Major,Design Poll API,3h,4h 36m
Task,Done,Major,Automate the build process,4h,5h 38m
Task,Done,Major,Create Action for retrieving user poll results Polls user created,3h,2d 2h 17m
Task,Done,Major,implement adapters,1d,2d 1h 32m
Task,Done,Major,unit tests,2h,2d 4h 1m
Task,Done,Major,Create tests for actions,6h,6h 17m
Task,Done,Major,Update service to use a service struct,4h,6h
Task,Done,Major,Setup and run Expo app on Android and iOS simulators,1h 30m,2h 4m
Task,Done,Major,Move hard coded URLs into configs,1h,2h
Task,Done,Blocker,Create a handler for creating a poll,2h,7h 25m
Task,Done,Blocker,Create a handler for answering a poll,2h,6h 39m
Task,Done,Major,Deploy poll service,3h,2d 51m
Task,Done,Major,Send User ID Account ID and Correlation ID in requests to poll server,2h,2h 56m
Task,Done,Major,View and Create polls with new API,1h 30m,1d 1h 32m
Task,Done,Major,Vote on polls in App,2h 30m,3h 47m
Task,Done,Major,Create action for retrieving poll details,3h,2h 59m
Task,Done,Blocker,create screen for voting multioption poll,6h,1d 1h 34m
Task,Done,Major,Send example results json,30m,27m
Task,Done,Major,Remove upload image functionality,1h 30m,1h 26m
Task,Done,Major,Allow poll duplicate,6h,5h 55m
Task,Done,Blocker,create screen for voting image poll,6h,1d 2h 10m
Task,Done,Major,Apollo Prep,2h,1h 48m
Task,Done,Blocker,create multiple choice poll screen,1d,1d 12m
Task,Done,Major,Figure out how Ariel is going to access the endpoint,30m,-
Task,Done,Major,Remove Profile tab and share button,1h 30m,52m
Task,Done,,create endpoint for getting polls,3h,2h 21m
Task,Done,Major,Generate GUIDUID on app install,3h,2h 20m
Task,Done,Major,Create action and hook up functionality for voting on a poll,6h,5h 20m
Task,Done,Major,Create action for retrieving poll results,3h,2h 19m
Task,Done,,setup accountApi repository,2h,1h 16m
Task,Done,Major,test command,1h,10m
Task,Done,Major,Get Landing page on weflow,2h,1h
Task,Done,Major,Update system architecture doc,1h,-
Task,Done,Major,Setup Poll mock server,1h,-
Task,Done,Blocker,setup pollApi repository,2h,57m
Task,Done,Major,Add Image to question,3h,1h 45m
Task,Done,,create interface for account storage,2h,20m
Task,Done,Blocker,setup aws amplify for facebook login google login,4h,2h 2m
Task,Done,Blocker,setup boilerplate react native project,2h,-
Task,Done,Blocker,create action for creating poll,6h,1d 1h 32m
 Subtask,Done,Major, Save Poll image using image poll endpoint,4h,3d 2h 43m
 Subtask,Done,Major, Store Poll using Enpoint,4h,6h 6m
Task,Done,Major,Spec out Results,2h,-
Task,Done,Major,Mock up the walk through,2h,-
Task,Done,Major,Display results when poll vote is registered,1d,5h 13m
Task,Done,Major,Create View for Image poll results,6h,3h 9m
Task,Done,,create a spec for the create poll api in swagger,6h,-
Task,Done,Major,Work on Image server,3d,2d 1h 47m
Task,Done,Major,01303019 Misc LittleApollo,-,-
Story,Done,Major,As and admin I should be able to use AI to generate questions for a test objective,-,1h
Task,Done,Major,Setup basic admin app and deploy,1h,1h
Story,Done,Major,As a child I should be able to login with a code,-,2h
Task,Done,Major,Setup the domain on Hubspot,1h,1h
Task,Done,Major,Setup base app,1h,4h
Bug,Done,Critical,Could not generate questions,-,3h 18m
Bug,Done,Blocker,Parts are disappearing when save questioned,-,29m
Story,Done,Major,Make it so that the user is redirected to add student if they dont have any student,0m,1h
Story,Done,Blocker,As a user I should be able to start an exam even if Im not logged in as a student,1h,2h
Task,Done,Major,Make it return an error if the user signs in with an account that doesnt exist,-,2h
Task,Done,Major,When creating an exercise without a student use a default if there is 1 student in the account,30m,15m
Task,Done,Critical,Add a state so that if a question needs to be fixed it could go into that state,30m,8m
Task,Done,Major,Split initial login screen for existing users and new users,1h,30m
Task,Done,Major,Make more mobile friendly,1h,30m
Task,Done,Major,Generate basic api code,2h,2h
Task,Done,Major,Setup basic API and deploy,2h,55m
Task,Closed,Major,Switch to using OpenAI instead of Google Vertex API,-,-
Story,Done,Major,As an admin I should be able to manage test bodies,-,-
Story,Done,Major,As an admin I should be able to manage questions,-,-
Story,Done,Major,As a parent I should be able to register and log in,-,-
Story,Done,Major,As a parent I should be able to add a child,-,-
Story,Done,Major,As a parent I should be able to manage exercises,-,-
Story,Done,Major,As a child I should be able to complete excercises,-,-
Story,Done,Major,As a parent I should be able to view the syllabus,-,-
Story,Done,Major,As an admin I should be able to make a custom prompt for generating questions,-,-
Story,Done,Blocker,QA,-,-
Story,Done,Major,I should be able to create a question that has multiple parts,-,-
Story,Done,Major,As a parent I should be able to analyze how my child did on an exercise,-,-
Task,Done,Major,Update the color of the theme to be orange,-,-
Task,Done,Major,Setup password reset,-,1h 50m
Task,Done,Critical,Add checkbox to mark std 5 only questions,-,1h
Story,Done,Major,As a std 4 parent I should be guided to evaluate what my child knows,2h,6h 10m
Task,Done,Major,Make it so that when a user is created and revenue cat is configured the user is added to revenue cat,-,2h
Bug,Done,Blocker,Cant add a new entitlement to user after cancelling previous entitlement,-,1h 27m
Bug,Done,Blocker,Submission overwritten,-,3h
Story,Done,Critical,As a parent I should get notified about the other Apollo functionality,-,2h
Story,Done,Major,As a student I should be able to retake a test,-,20m
Task,Done,Major,Add analytics,1h,4h 23m
Task,Done,Major,Add fractions test to new users,-,20m
