Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Sub-task,MED-83,Done,Major,MED-18 -> Add concept of multimedia links to questions,2h,2h,1h,1h,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-98,Done,Major,MED-6 -> Fix issue with notch,2h,2h,1h,1h,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-108,Done,Major,MED-93 -> Add endpoint for managing sub topics,2h,2h,1h,1h,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-120,Done,Major,MED-16 -> Hook up the front end to display question,1h,1h,1h,1h,1h,1h,1 hour,1 hour,-100,-100
Sub-task,MED-136,Done,Major,MED-135 -> Create entity for tracking user stats,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,MED-137,Done,Major,MED-135 -> Update block handler to update average score on user stats,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,MED-138,Done,Major,MED-135 -> Add controller for returning user stats,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,MED-186,Done,Major,MED-10 -> Setup revenuecat SDK on android,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,MED-187,Done,Major,MED-10 -> setup revenuecat SDK on web,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,MED-189,Done,Major,MED-10 -> Upgrade IAM to support subscriptions,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,MED-191,Done,Major,MED-10 -> Feedback,2h,2h,1h,1h,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-199,Done,Major,MED-129 -> Add code to end the exam when time runs out,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,MED-200,Done,Major,MED-14 -> update the open AI service to pass in an endpoint,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,MED-51,Done,Major,MED-22 -> Setup container registry,2h,2h,1h 30m,1h 30m,30m,30m,0 minutes,0 minutes,0,0
Task,MED-24,Closed,Major,Setup Dev environment,2h,2h,2h,2h,-,-,-,-,0,0
Task,MED-74,To Do,Major,Add concept of feedback and users,2h,2h,2h,2h,-,-,-,-,0,0
Sub-task,MED-85,Done,Major,MED-18 -> Add more columns to the question list and the ability to filter on those column,2h,2h,2h,2h,-,-,-,-,0,0
Sub-task,MED-195,To Do,Major,MED-7 -> get android build working,2h,2h,2h,2h,-,-,-,-,0,0
Story,MED-140,To Do,Major,I should be able to see my average overall score rank against all users in the system,-,2h 30m,-,2h 30m,-,-,,-,,
-> Sub-task,MED-141,To Do,Major,-> Create a gorm model for tracking all user scores,30m,,30m,,-,,-,,0,0
-> Sub-task,MED-142,To Do,Major,-> Update block handler to store score table,30m,,30m,,-,,-,,0,0
-> Sub-task,MED-144,To Do,Major,-> Hook up ranking performance widget,30m,,30m,,-,,-,,0,0
-> Sub-task,MED-143,To Do,Major,-> Update stats controller to return the user's rank and percentile,1h,,1h,,-,,-,,0,0
Sub-task,MED-33,Done,Major,MED-2 -> Setup client id and secret,-,-,-,-,-,-,,,,
Sub-task,MED-100,Done,Major,MED-6 -> Feedback,-,-,-,-,-,-,,,,
Sub-task,MED-104,Done,Major,MED-16 -> Add endpoint for saving answer to a question,-,-,-,-,-,-,,,,
Sub-task,MED-106,Done,Major,MED-16 -> Add endpoint for updating the state of the exam,-,-,-,-,-,-,,,,
Sub-task,MED-114,Done,Major,MED-17 -> Update the filter form so that the organ system filter shows topics,-,-,-,-,-,-,,,,
Sub-task,MED-117,Done,Major,MED-17 -> Make it so that select all on the filter selects ALL in the list,-,-,-,-,-,-,,,,
Sub-task,MED-125,Done,Major,MED-124 -> Update the list of paused questions across the top of the blocks landing screen,-,-,-,-,-,-,,,,
Sub-task,MED-133,Done,Major,MED-131 -> Update with full list of specialties,-,-,-,-,-,-,,,,
Sub-task,MED-149,Done,Major,MED-148 -> UI Updates,-,-,-,-,-,-,,,,
Sub-task,MED-160,Done,Major,MED-159 -> Hook up list to list block api,-,-,-,-,-,-,,,,
Sub-task,MED-165,Done,Major,MED-17 -> Add disciplines filter,-,-,-,-,-,-,,,,
Sub-task,MED-168,Done,Major,MED-128 -> Add review version of question detail,-,-,-,-,-,-,,,,
Sub-task,MED-171,Done,Major,MED-170 -> Add method for progressing timer,-,-,-,-,-,-,,,,
Sub-task,MED-172,Done,Major,MED-170 -> Clear timer set timeout the moment the explanation is shown in tutor mode,-,-,-,-,-,-,,,,
Sub-task,MED-179,Done,Major,MED-128 -> Update the question answers to have a version where the answer is wrong and another when it's correct,-,-,-,-,-,-,,,,
Sub-task,MED-181,Done,Major,MED-127 -> Add screen for block results,-,-,-,-,-,-,,,,
Sub-task,MED-194,To Do,Major,MED-7 -> Setup fastlane for android,-,-,-,-,-,-,,,,
Bug,MED-227,Closed,Major,AI tutor screen too large,-,-,-,-,-,-,,,,
,,,,Total,2w 2d 1h 35m,2w 2d 1h 35m,4d 2h 49m,4d 2h 49m,2w 4d 7h 26m,2w 4d 7h 26m,"1 week, 40 minutes","1 week, 40 minutes",-43,-43
